country,lat,lng,collaboration
Belgium,50.6402809,4.6667145,57
Switzerland,46.7985624,8.2319736,2
United States of America,39.7837304,-100.445882,363
Australia,-24.7761086,134.755,14
Denmark,55.670249,10.3333283,6
Canada,61.0666922,-107.991707,1016
Israel,30.8124247,34.8594762,6
Netherlands,52.2434979,5.6343227,27
Ireland,52.865196,-7.9794599,6
Italy,42.6384261,12.674297,9
France,46.603354,1.8883334999999999,12
Luxembourg,49.8158683,6.1296751,3
China,35.000074,104.999927,19
Germany,51.1638175,10.4478313,26
UK,54.7023545,-3.2765753,39
Austria,47.59397,14.12456,6
India,22.3511148,78.6677428,3
Finland,63.2467777,25.9209164,7
Spain,39.3260685,-4.8379791,5
Hong Kong S.A.R.,13.7448047,100.5338574,1
Singapore,1.357107,103.8194992,2
Poland,52.215933,19.134422,1
Lebanon,33.8750629,35.843409,17
Slovakia,48.7411522,19.4528646,1
Norway,61.1529386,8.7876653,7
Qatar,25.3336984,51.2295295,1
South Korea,36.638392,127.6961188,1
Egypt,26.2540493,29.2675469,1
Colombia,4.099917,-72.9088133,1
Japan,36.5748441,139.2394179,1
Brazil,-10.3333333,-53.2,3
Sweden,59.6749712,14.5208584,1
Iran,32.6475314,54.5643516,10
Vietnam,15.9266657,107.9650855,1
Toronto,43.6598584, -79.3881289,1
